movie,link
Knight of Cups,https://www.imdb.com/title/tt2101383/?ref_=fn_all_ttl_1
Kung Fu Hustle,https://www.imdb.com/title/tt0373074/?ref_=fn_all_ttl_1
"LSD: Love, Sex Aur Dhokha",https://www.imdb.com/title/tt1608777/?ref_=fn_all_ttl_1
La Ciénaga,https://www.imdb.com/title/tt0240419/?ref_=fn_all_ttl_1
"La commune (Paris, 1871)",https://www.imdb.com/title/tt0257497/?ref_=fn_all_ttl_1
Lagaan: Once Upon a Time in India,https://www.imdb.com/title/tt0169102/?ref_=fn_all_ttl_1
Le filmeur,https://www.imdb.com/title/tt0463991/?ref_=fn_all_ttl_1
Le quattro volte,https://www.imdb.com/title/tt1646975/?ref_=fn_all_ttl_1
Let the Right One In,https://www.imdb.com/title/tt14367168/?ref_=fn_all_ttl_1
Letters From Iwo Jima,https://www.imdb.com/title/tt0498380/?ref_=fn_all_ttl_1
Leviathan,https://www.imdb.com/title/tt0097737/?ref_=fn_all_ttl_1
Life of Pi,https://www.imdb.com/title/tt0454876/?ref_=fn_all_ttl_1
Lifeline,https://www.imdb.com/title/tt7034646/?ref_=fn_all_ttl_1
Like Someone In Love,https://www.imdb.com/title/tt1843287/?ref_=fn_all_ttl_1
Lilya 4-Ever,https://www.imdb.com/title/tt0300140/?ref_=fn_all_ttl_1
Lincoln,https://www.imdb.com/title/tt13833978/?ref_=fn_all_ttl_1
Listen to Me Marlon,https://www.imdb.com/title/tt4145178/?ref_=fn_all_ttl_1
Locke,https://www.imdb.com/title/tt3007572/?ref_=fn_all_ttl_1
Longing,https://www.imdb.com/title/tt8442220/?ref_=fn_all_ttl_1
Los Angeles Plays Itself,https://www.imdb.com/title/tt0379357/?ref_=fn_all_ttl_1
Lost and Beautiful,https://www.imdb.com/title/tt2188860/?ref_=fn_all_ttl_1
Lost in Translation,https://www.imdb.com/title/tt0335266/?ref_=fn_all_ttl_1
Lourdes,https://www.imdb.com/title/tt1405809/?ref_=fn_all_ttl_1
Love & Basketball,https://www.imdb.com/title/tt0314331/?ref_=fn_all_ttl_1
Love & Friendship,https://www.imdb.com/title/tt0314331/?ref_=fn_all_ttl_1
Love Actually,https://www.imdb.com/title/tt0314331/?ref_=fn_all_ttl_1
Love Exposure,https://www.imdb.com/title/tt1128075/?ref_=fn_all_ttl_1
Lumumba,https://www.imdb.com/title/tt0246765/?ref_=fn_all_ttl_1
"Lust, Caution",https://www.imdb.com/title/tt0808357/?ref_=fn_all_ttl_1
